290843 	-0.172233 	0.583705 	-1.24491 	-1.55888 	1.24379 	
17.575	0.290464 	-0.17239 	0.583566 	-1.27306 	-1.55899 	1.27113 	
17.58	0.290462 	-0.172386 	0.583559 	-1.27163 	-1.55899 	1.26972 	
17.585	0.29046 	-0.172382 	0.583552 	-1.2703 	-1.55898 	1.26839 	
17.59	0.290459 	-0.172378 	0.583546 	-1.26901 	-1.55898 	1.26712 	
17.595	0.290457 	-0.172373 	0.583539 	-1.26771 	-1.55897 	1.26584 	
17.6	0.290456 	-0.172369 	0.583533 	-1.26639 	-1.55897 	1.26453 	
17.605	0.290455 	-0.172364 	0.583525 	-1.26501 	-1.55896 	1.26317 	
17.61	0.290455 	-0.172359 	0.583518 	-1.26361 	-1.55896 	1.26178 	
17.615	0.290454 	-0.172353 	0.583511 	-1.26222 	-1.55895 	1.26041 	
17.62	0.290454 	-0.172348 	0.583503 	-1.26088 	-1.55895 	1.25909 	
17.625	0.290455 	-0.172342 	0.583496 	-1.25964 	-1.55894 	1.25787 	
17.63	0.290456 	-0.172337 	0.58349 	-1.25848 	-1.55894 	1.25673 	
17.635	0.290457 	-0.172331 	0.583483 	-1.2574 	-1.55893 	1.25566 	
17.64	0.290458 	-0.172326 	0.583477 	-1.25639 	-1.55893 	1.25467 	
17.645	0.29046 	-0.17232 	0.58347 	-1.25547 	-1.55893 	1.25376 	
17.65	0.290462 	-0.172315 	0.583465 	-1.25467 	-1.55892 	1.25298 	
17.655	0.290464 	-0.172309 	0.583459 	-1.25398 	-1.55892 	1.25231 	
17.66	0.290467 	-0.172304 	0.583454 	-1.25343 	-1.55892 	1.25177 	
17.665	0.29047 	-0.172299 	0.58345 	-1.253 	-1.55892 	1.25136 	
17.67	0.290473 	-0.172293 	0.583446 	-1.25269 	-1.55892 	1.25107 	
17.675	0.290476 	-0.172288 	0.583442 	-1.25249 	-1.55891 	1.25088 	
17.68	0.290479 	-0.172283 	0.583439 	-1.2524 	-1.55891 	1.2508 	
17.685	0.290483 	-0.172278 	0.583436 	-1.25242 	-1.55892 	1.25083 	
17.69	0.290486 	-0.172274 	0.583433 	-1.25256 	-1.55892 	1.25099 	
17.695	0.29049 	-0.172269 	0.583431 	-1.25283 	-1.55892 	1.25127 	
17.7	0.290494 	-0.172265 	0.58343 	-1.25319 	-1.55892 	1.25165 	
17.705	0.290498 	-0.17226 	0.583429 	-1.25367 	-1.55892 	1.25214 	
17.71	0.290502 	-0.172256 	0.583428 	-1.25424 	-1.55893 	1.25272 	
17.715	0.290507 	-0.172252 	0.583427 	-1.25493 	-1.55893 	1.25342 	
17.72	0.290511 	-0.172249 	0.583428 	-1.25575 	-1.55893 	1.25425 	
17.725	0.290515 	-0.172245 	0.583428 	-1.25671 	-1.55894 	1.25522 	
17.73	0.29052 	-0.172242 	0.583429 	-1.25779 	-1.55894 	1.25631 	
17.735	0.290524 	-0.172239 	0.583431 	-1.25896 	-1.55895 	1.25748 	
17.74	0.290529 	-0.172237 	0.583432 	-1.26019 	-1.55895 	1.25872 	
17.745	0.290533 	-0.172234 	0.583435 	-1.26151 	-1.55896 	1.26004 	
17.75	0.290537 	-0.172232 	0.583437 	-1.26289 	-1.55896 	1.26143 	
17.755	0.290541 	-0.17223 	0.58344 	-1.26436 	-1.55897 	1.2629 	
17.76	0.290546 	-0.172229 	0.583443 	-1.26588 	-1.55898 	1.26443 	
17.765	0.29055 	-0.172227 	0.583446 	-1.26744 	-1.55899 	1.26599 	
17.77	0.290554 	-0.172226 	0.583449 	-1.26901 	-1.55899 	1.26756 	
17.775	0.290557 	-0.172225 	0.583453 	-1.27061 	-1.559 	1.26916 	
17.78	0.290561 	-0.172224 	0.583456 	-1.27222 	-1.55901 	1.27077 	
17.785	0.290564 	-0.172223 	0.58346 	-1.27386 	-1.55901 	1.27241 	
17.79	0.290568 	-0.172223 	0.583464 	-1.27554 	-1.55902 	1.27409 	
17.795	0.290571 	-0.172222 	0.583468 	-1.27724 	-1.55903 	1.27579 	
17.8	0.290574 	-0.172222 	0.583472 	-1.27898 	-1.55904 	1.27752 	
17.805	0.290577 	-0.172223 	0.583476 	-1.28075 	-1.55904 	1.27929 	
17.81	0.29058 	-0.172223 	0.583481 	-1.28254 	-1.55905 	1.28108 	
17.815	0.290583 	-0.172223 	0.583485 	-1.28436 	-1.55906 	1.2829 	
17.82	0.290586 	-0.172224 	0.58349 	-1.28624 	-1.55907 	1.28477 	
17.825	0.290588 	-0.172225 	0.583495 	-1.28816 	-1.55907 	1.28669 	
17.83	0.290591 	-0.172226 	0.5835 	-1.29015 	-1.55908 	1.28867 	
17.835	0.290593 	-0.172227 	0.583506 	-1.2922 	-1.55909 	1.29071 	
17.84	0.290596 	-0.172229 	0.583512 	-1.29428 	-1.5591 	1.29279 	
17.845	0.290598 	-0.17223 	0.583518 	-1.29637 	-1.55911 	1.29487 	
17.85	0.2906 	-0.172232 	0.583523 	-1.29845 	-1.55912 	1.29694 	
17.855	0.290602 	-0.172234 	0.583529 	-1.30051 	-1.55912 	1.29899 	
17.86	0.290604 	-0.172235 	0.583535 	-1.30255 	-1.55913 	1.30102 	
17.865	0.290606 	-0.172237 	0.58354 	-1.30457 	-1.55914 	1.30304 	
17.87	0.290607 	-0.172239 	0.583546 	-1.30658 	-1.55915 	1.30503 	
17.875	0.290609 	-0.172241 	0.583551 	-1.30855 	-1.55915 	1.307 	
17.88	0.29061 	-0.172244 	0.583557 	-1.31051 	-1.55916 	1.30895 	
17.885	0.290611 	-0.172246 	0.583562 	-1.31245 	-1.55917 	1.31088 	
17.89	0.290612 	-0.172248 	0.583568 	-1.31445 	-1.55918 	1.31287 	
17.895	0.290613 	-0.172251 	0.583574 	-1.31652 	-1.55918 	1.31493 	
17.9	0.290615 	-0.172254 	0.583581 	-1.31874 	-1.55919 	1.31713 	
17.905	0.290616 	-0.172257 	0.583588 	-1.32113 	-1.5592 	1.31952 	
17.91	0.290617 	-0.17226 	0.583596 	-1.32369 	-1.55921 	1.32206 	
17.915	0.290618 	-0.172263 	0.583604 	-1.32637 	-1.55922 	1.32473 	
17.92	0.290619 	-0.172267 	0.583613 	-1.32915 	-1.55923 	1.3275 	
17.925	0.29062 	-0.172271 	0.583621 	-1.33199 	-1.55924 	1.33033 	
17.93	0.290621 	-0.172274 	0.583631 	-1.33489 	-1.55925 	1.33321 	
17.935	0.290622 	-0.172278 	0.58364 	-1.33785 	-1.55926 	1.33615 	
17.94	0.290623 	-0.172282 	0.58365 	-1.34086 	-1.55927 	1.33915 	
17.945	0.290624 	-0.172286 	0.583659 	-1.34392 	-1.55928 	1.34219 	
17.95	0.290625 	-0.17229 	0.583669 	-1.34703 	-1.55929 	1.34529 	
17.955	0.290626 	-0.172295 	0.583679 	-1.35016 	-1.5593 	1.3484 	
17.96	0.290627 	-0.172299 	0.583689 	-1.3533 	-1.55931 	1.35153 	
17.965	0.290627 	-0.172303 	0.583699 	-1.35643 	-1.55932 	1.35464 	
17.97	0.290628 	-0.172307 	0.583709 	-1.35954 	-1.55933 	1.35774 	
17.975	0.290628 	-0.172312 	0.583719 	-1.36263 	-1.55934 	1.3608 	
17.98	0.290629 	-0.172316 	0.583729 	-1.36568 	-1.55935 	1.36384 	
17.985	0.290629 	-0.17232 	0.583738 	-1.36869 	-1.55936 	1.36684 	
17.99	0.290629 	-0.172324 	0.583748 	-1.37163 	-1.55937 	1.36976 	
17.995	0.290629 	-0.172329 	0.583757 	-1.3745 	-1.55938 	1.37262 	
18	0.290629 	-0.172333 	0.583766 	-1.37728 	-1.55939 	1.37539 	
18.005	0.290629 	-0.172337 	0.583775 	-1.37999 	-1.5594 	1.37808 	
18.01	0.290628 	-0.172341 	0.583783 	-1.38263 	-1.5594 	1.3807 	
18.015	0.290628 	-0.172345 	0.583791 	-1.3852 	-1.55941 	1.38326 	
18.02	0.290627 	-0.17235 	0.583799 	-1.3877 	-1.55942 	1.38574 	
18.025	0.290626 	-0.172354 	0.583806 	-1.3901 	-1.55943 	1.38812 	
18.03	0.290625 	-0.172357 	0.583814 	-1.39238 	-1.55943 	1.39039 	
18.035	0.290624 	-0.172361 	0.58382 	-1.39454 	-1.55944 	1.39254 	
18.04	0.290623 	-0.172365 	0.583827 	-1.39659 	-1.55944 	1.39457 	
18.045	0.290622 	-0.172369 	0.583833 	-1.39854 	-1.55945 	1.39651 	
18.05	0.29062 	-0.172372 	0.583838 	-1.4004 	-1.55945 	1.39835 	
18.055	0.290619 	-0.172376 	0.583844 	-1.40216 	-1.55946 	1.4001 	
18.06	0.290617 	-0.172379 	0.583849 	-1.40379 	-1.55946 	1.40172 	
18.065	0.290615 	-0.172383 	0.583853 	-1.40527 	-1.55947 	1.40319 	
18.07	0.290613 	-0.172386 	0.583857 	-1.40654 	-1.55947 	1.40445 	
18.075	0.29061 	-0.172389 	0.58386 	-1.40762 	-1.55948 	1.40551 	
18.08	0.290608 	-0.172392 	0.583862 	-1.40847 	-1.55948 	1.40636 	
18.085	0.290605 	-0.172395 	0.583864 	-1.40911 	-1.55948 	1.40698 	
18.09	0.290602 	-0.172397 	0.583865 	-1.40956 	-1.55948 	1.40743 	
18.095	0.290599 	-0.1724 	0.583865 	-1.40982 	-1.55948 	1.40768 	
18.1	0.290596 	-0.172402 	0.583865 	-1.40991 	-1.55948 	1.40776 	
18.105	0.290593 	-0.172404 	0.583864 	-1.40979 	-1.55948 	1.40763 	
18.11	0.290589 	-0.172406 	0.583862 	-1.40945 	-1.55948 	1.40728 	
18.115	0.290585 	-0.172407 	0.583859 	-1.40886 	-1.55948 	1.40669 	
18.12	0.290581 	-0.172409 	0.583856 	-1.40803 	-1.55948 	1.40586 	
18.125	0.290577 	-0.17241 	0.583851 	-1.40695 	-1.55948 	1.40478 	
18.13	0.290573 	-0.172411 	0.583846 	-1.40566 	-1.55948 	1.40348 	
18.135	0.290569 	-0.172412 	0.58384 	-1.40417 	-1.55947 	1.40199 	
18.14	0.290564 	-0.172413 	0.583834 	-1.4025 	-1.55947 	1.40032 	
18.145	0.29056 	-0.172413 	0.583827 	-1.40065 	-1.55947 	1.39846 	
18.15	0.290555 	-0.172413 	0.583819 	-1.39862 	-1.55946 	1.39644 	
18.155	0.29055 	-0.172414 	0.58381 	-1.39643 	-1.55946 	1.39424 	
18.16	0.290545 	-0.172414 	0.583801 	-1.39406 	-1.55945 	1.39188 	
18.165	0.29054 	-0.172413 	0.583792 	-1.39156 	-1.55944 	1.38937 	
18.17	0.290535 	-0.172413 	0.583782 	-1.38892 	-1.55944 	1.38673 	
18.175	0.290529 	-0.172413 	0.583772 	-1.38618 	-1.55943 	1.38399 	
18.18	0.290524 	-0.172412 	0.583761 	-1.38333 	-1.55942 	1.38115 	
18.185	0.290519 	-0.172411 	0.58375 	-1.38039 	-1.55942 	1.37821 	
18.19	0.290513 	-0.17241 	0.583739 	-1.37735 	-1.55941 	1.37517 	
18.195	0.290508 	-0.172409 	0.583727 	-1.37421 	-1.5594 	1.37203 	
18.2	0.290503 	-0.172408 	0.583714 	-1.37092 	-1.55939 	1.36875 	
18.205	0.290497 	-0.172406 	0.583701 	-1.36744 	-1.55938 	1.36528 	
18.21	0.290491 	-0.172405 	0.583687 	-1.36372 	-1.55937 	1.36156 	
18.215	0.290485 	-0.172403 	0.583672 	-1.35975 	-1.55936 	1.3576 	
18.22	0.290479 	-0.1724 	0.583657 	-1.35554 	-1.55935 	1.3534 	
18.225	0.290473 	-0.172398 	0.58364 	-1.35112 	-1.55933 	1.34899 	
18.23	0.290467 	-0.172395 	0.583623 	-1.34653 	-1.55932 	1.34441 	
18.235	0.29046 	-0.172392 	0.583605 	-1.3418 	-1.5593 	1.33969 	
18.24	0.290454 	-0.172389 	0.583587 	-1.33697 	-1.55929 	1.33488 	
18.245	0.290448 	-0.172386 	0.583568 	-1.33208 	-1.55927 	1.32999 	
18.25	0.290441 	-0.172382 	0.58355 	-1.32716 	-1.55926 	1.32509 	
18.255	0.290435 	-0.172379 	0.583531 	-1.32225 	-1.55924 	1.32019 	
18.26	0.290429 	-0.172375 	0.583512 	-1.31737 	-1.55922 	1.31532 	
18.265	0.290423 	-0.172372 	0.583494 	-1.31254 	-1.5592 	1.3105 	
18.27	0.290417 	-0.172368 	0.583475 	-1.30776 	-1.55919 	1.30574 	
18.275	0.290411 	-0.172364 	0.583457 	-1.30307 	-1.55917 	1.30105 	
